Weight, Velocity, Chord Length, Wing Span, Lift Coefficient, Drag Coefficient
6000, 175.0, 4.00, 20.0, 5.8699, 3.7203
6000, 175.0, 4.00, 25.0, 4.6959, 2.1865
6000, 175.0, 4.00, 30.0, 3.9133, 1.4646
6000, 175.0, 4.00, 35.0, 3.3542, 1.0707
6000, 175.0, 4.00, 40.0, 2.9350, 0.8319
6000, 175.0, 4.00, 45.0, 2.6089, 0.6755
6000, 175.0, 4.00, 50.0, 2.3480, 0.5668
6000, 175.0, 4.25, 20.0, 5.5246, 3.5014
6000, 175.0, 4.25, 25.0, 4.4197, 2.0579
6000, 175.0, 4.25, 30.0, 3.6831, 1.3785
6000, 175.0, 4.25, 35.0, 3.1569, 1.0077
6000, 175.0, 4.25, 40.0, 2.7623, 0.7830
6000, 175.0, 4.25, 45.0, 2.4554, 0.6358
6000, 175.0, 4.25, 50.0, 2.2099, 0.5335
6000, 175.0, 4.50, 20.0, 5.2177, 3.3069
6000, 175.0, 4.50, 25.0, 4.1742, 1.9436
6000, 175.0, 4.50, 30.0, 3.4785, 1.3019
6000, 175.0, 4.50, 35.0, 2.9816, 0.9517
6000, 175.0, 4.50, 40.0, 2.6089, 0.7395
6000, 175.0, 4.50, 45.0, 2.3190, 0.6005
6000, 175.0, 4.50, 50.0, 2.0871, 0.5038
6000, 175.0, 4.75, 20.0, 4.9431, 3.1328
6000, 175.0, 4.75, 25.0, 3.9545, 1.8413
6000, 175.0, 4.75, 30.0, 3.2954, 1.2334
6000, 175.0, 4.75, 35.0, 2.8246, 0.9016
6000, 175.0, 4.75, 40.0, 2.4716, 0.7005
6000, 175.0, 4.75, 45.0, 2.1969, 0.5689
6000, 175.0, 4.75, 50.0, 1.9772, 0.4773
6000, 175.0, 5.00, 20.0, 4.6959, 2.9762
6000, 175.0, 5.00, 25.0, 3.7568, 1.7492
6000, 175.0, 5.00, 30.0, 3.1306, 1.1717
6000, 175.0, 5.00, 35.0, 2.6834, 0.8565
6000, 175.0, 5.00, 40.0, 2.3480, 0.6655
6000, 175.0, 5.00, 45.0, 2.0871, 0.5404
6000, 175.0, 5.00, 50.0, 1.8784, 0.4534
6000, 175.0, 5.25, 20.0, 4.4723, 2.8345
6000, 175.0, 5.25, 25.0, 3.5779, 1.6659
6000, 175.0, 5.25, 30.0, 2.9816, 1.1159
6000, 175.0, 5.25, 35.0, 2.5556, 0.8157
6000, 175.0, 5.25, 40.0, 2.2362, 0.6338
6000, 175.0, 5.25, 45.0, 1.9877, 0.5147
6000, 175.0, 5.25, 50.0, 1.7889, 0.4319
6000, 175.0, 5.50, 20.0, 4.2690, 2.7056
6000, 175.0, 5.50, 25.0, 3.4152, 1.5902
6000, 175.0, 5.50, 30.0, 2.8460, 1.0652
6000, 175.0, 5.50, 35.0, 2.4395, 0.7787
6000, 175.0, 5.50, 40.0, 2.1345, 0.6050
6000, 175.0, 5.50, 45.0, 1.8974, 0.4913
6000, 175.0, 5.50, 50.0, 1.7076, 0.4122
6000, 175.0, 5.75, 20.0, 4.0834, 2.5880
6000, 175.0, 5.75, 25.0, 3.2667, 1.5211
6000, 175.0, 5.75, 30.0, 2.7223, 1.0189
6000, 175.0, 5.75, 35.0, 2.3334, 0.7448
6000, 175.0, 5.75, 40.0, 2.0417, 0.5787
6000, 175.0, 5.75, 45.0, 1.8149, 0.4699
6000, 175.0, 5.75, 50.0, 1.6334, 0.3943
6000, 175.0, 6.00, 20.0, 3.9133, 2.4802
6000, 175.0, 6.00, 25.0, 3.1306, 1.4577
6000, 175.0, 6.00, 30.0, 2.6089, 0.9764
6000, 175.0, 6.00, 35.0, 2.2362, 0.7138
6000, 175.0, 6.00, 40.0, 1.9566, 0.5546
6000, 175.0, 6.00, 45.0, 1.7392, 0.4504
6000, 175.0, 6.00, 50.0, 1.5653, 0.3779
6000, 200.0, 4.00, 20.0, 4.4942, 2.3563
6000, 200.0, 4.00, 25.0, 3.5953, 1.4221
6000, 200.0, 4.00, 30.0, 2.9961, 0.9756
6000, 200.0, 4.00, 35.0, 2.5681, 0.7279
6000, 200.0, 4.00, 40.0, 2.2471, 0.5754
6000, 200.0, 4.00, 45.0, 1.9974, 0.4740
6000, 200.0, 4.00, 50.0, 1.7977, 0.4025
6000, 200.0, 4.25, 20.0, 4.2298, 2.2177
6000, 200.0, 4.25, 25.0, 3.3838, 1.3385
6000, 200.0, 4.25, 30.0, 2.8199, 0.9182
6000, 200.0, 4.25, 35.0, 2.4170, 0.6851
6000, 200.0, 4.25, 40.0, 2.1149, 0.5416
6000, 200.0, 4.25, 45.0, 1.8799, 0.4461
6000, 200.0, 4.25, 50.0, 1.6919, 0.3788
6000, 200.0, 4.50, 20.0, 3.9948, 2.0945
6000, 200.0, 4.50, 25.0, 3.1959, 1.2641
6000, 200.0, 4.50, 30.0, 2.6632, 0.8672
6000, 200.0, 4.50, 35.0, 2.2828, 0.6470
6000, 200.0, 4.50, 40.0, 1.9974, 0.5115
6000, 200.0, 4.50, 45.0, 1.7755, 0.4213
6000, 200.0, 4.50, 50.0, 1.5979, 0.3578
6000, 200.0, 4.75, 20.0, 3.7846, 1.9842
6000, 200.0, 4.75, 25.0, 3.0276, 1.1976
6000, 200.0, 4.75, 30.0, 2.5230, 0.8215
6000, 200.0, 4.75, 35.0, 2.1626, 0.6130
6000, 200.0, 4.75, 40.0, 1.8923, 0.4846
6000, 200.0, 4.75, 45.0, 1.6820, 0.3992
6000, 200.0, 4.75, 50.0, 1.5138, 0.3389
6000, 200.0, 5.00, 20.0, 3.5953, 1.8850
6000, 200.0, 5.00, 25.0, 2.8763, 1.1377
6000, 200.0, 5.00, 30.0, 2.3969, 0.7805
6000, 200.0, 5.00, 35.0, 2.0545, 0.5823
6000, 200.0, 5.00, 40.0, 1.7977, 0.4603
6000, 200.0, 5.00, 45.0, 1.5979, 0.3792
6000, 200.0, 5.00, 50.0, 1.4381, 0.3220
6000, 200.0, 5.25, 20.0, 3.4241, 1.7953
6000, 200.0, 5.25, 25.0, 2.7393, 1.0835
6000, 200.0, 5.25, 30.0, 2.2828, 0.7433
6000, 200.0, 5.25, 35.0, 1.9566, 0.5546
6000, 200.0, 5.25, 40.0, 1.7121, 0.4384
6000, 200.0, 5.25, 45.0, 1.5218, 0.3611
6000, 200.0, 5.25, 50.0, 1.3697, 0.3066
6000, 200.0, 5.50, 20.0, 3.2685, 1.7137
6000, 200.0, 5.50, 25.0, 2.6148, 1.0343
6000, 200.0, 5.50, 30.0, 2.1790, 0.7095
6000, 200.0, 5.50, 35.0, 1.8677, 0.5294
6000, 200.0, 5.50, 40.0, 1.6342, 0.4185
6000, 200.0, 5.50, 45.0, 1.4527, 0.3447
6000, 200.0, 5.50, 50.0, 1.3074, 0.2927
6000, 200.0, 5.75, 20.0, 3.1264, 1.6392
6000, 200.0, 5.75, 25.0, 2.5011, 0.9893
6000, 200.0, 5.75, 30.0, 2.0843, 0.6787
6000, 200.0, 5.75, 35.0, 1.7865, 0.5064
6000, 200.0, 5.75, 40.0, 1.5632, 0.4003
6000, 200.0, 5.75, 45.0, 1.3895, 0.3297
6000, 200.0, 5.75, 50.0, 1.2506, 0.2800
6000, 200.0, 6.00, 20.0, 2.9961, 1.5709
6000, 200.0, 6.00, 25.0, 2.3969, 0.9481
6000, 200.0, 6.00, 30.0, 1.9974, 0.6504
6000, 200.0, 6.00, 35.0, 1.7121, 0.4853
6000, 200.0, 6.00, 40.0, 1.4981, 0.3836
6000, 200.0, 6.00, 45.0, 1.3316, 0.3160
6000, 200.0, 6.00, 50.0, 1.1984, 0.2683
6000, 225.0, 4.00, 20.0, 3.5509, 1.5952
6000, 225.0, 4.00, 25.0, 2.8408, 0.9872
6000, 225.0, 4.00, 30.0, 2.3673, 0.6919
6000, 225.0, 4.00, 35.0, 2.0291, 0.5254
6000, 225.0, 4.00, 40.0, 1.7755, 0.4213
6000, 225.0, 4.00, 45.0, 1.5782, 0.3511
6000, 225.0, 4.00, 50.0, 1.4204, 0.3009
6000, 225.0, 4.25, 20.0, 3.3421, 1.5014
6000, 225.0, 4.25, 25.0, 2.6737, 0.9291
6000, 225.0, 4.25, 30.0, 2.2280, 0.6512
6000, 225.0, 4.25, 35.0, 1.9098, 0.4945
6000, 225.0, 4.25, 40.0, 1.6710, 0.3966
6000, 225.0, 4.25, 45.0, 1.4854, 0.3305
6000, 225.0, 4.25, 50.0, 1.3368, 0.2832
6000, 225.0, 4.50, 20.0, 3.1564, 1.4180
6000, 225.0, 4.50, 25.0, 2.5251, 0.8775
6000, 225.0, 4.50, 30.0, 2.1043, 0.6150
6000, 225.0, 4.50, 35.0, 1.8037, 0.4670
6000, 225.0, 4.50, 40.0, 1.5782, 0.3745
6000, 225.0, 4.50, 45.0, 1.4028, 0.3121
6000, 225.0, 4.50, 50.0, 1.2626, 0.2675
6000, 225.0, 4.75, 20.0, 2.9903, 1.3434
6000, 225.0, 4.75, 25.0, 2.3922, 0.8313
6000, 225.0, 4.75, 30.0, 1.9935, 0.5826
6000, 225.0, 4.75, 35.0, 1.7087, 0.4425
6000, 225.0, 4.75, 40.0, 1.4951, 0.3548
6000, 225.0, 4.75, 45.0, 1.3290, 0.2957
6000, 225.0, 4.75, 50.0, 1.1961, 0.2534
6000, 225.0, 5.00, 20.0, 2.8408, 1.2762
6000, 225.0, 5.00, 25.0, 2.2726, 0.7898
6000, 225.0, 5.00, 30.0, 1.8938, 0.5535
6000, 225.0, 5.00, 35.0, 1.6233, 0.4203
6000, 225.0, 5.00, 40.0, 1.4204, 0.3371
6000, 225.0, 5.00, 45.0, 1.2626, 0.2809
6000, 225.0, 5.00, 50.0, 1.1363, 0.2408
6000, 225.0, 5.25, 20.0, 2.7055, 1.2154
6000, 225.0, 5.25, 25.0, 2.1644, 0.7522
6000, 225.0, 5.25, 30.0, 1.8037, 0.5271
6000, 225.0, 5.25, 35.0, 1.5460, 0.4003
6000, 225.0, 5.25, 40.0, 1.3527, 0.3210
6000, 225.0, 5.25, 45.0, 1.2024, 0.2675
6000, 225.0, 5.25, 50.0, 1.0822, 0.2293
6000, 225.0, 5.50, 20.0, 2.5825, 1.1602
6000, 225.0, 5.50, 25.0, 2.0660, 0.7180
6000, 225.0, 5.50, 30.0, 1.7217, 0.5032
6000, 225.0, 5.50, 35.0, 1.4757, 0.3821
6000, 225.0, 5.50, 40.0, 1.2913, 0.3064
6000, 225.0, 5.50, 45.0, 1.1478, 0.2554
6000, 225.0, 5.50, 50.0, 1.0330, 0.2189
6000, 225.0, 5.75, 20.0, 2.4702, 1.1097
6000, 225.0, 5.75, 25.0, 1.9762, 0.6868
6000, 225.0, 5.75, 30.0, 1.6468, 0.4813
6000, 225.0, 5.75, 35.0, 1.4116, 0.3655
6000, 225.0, 5.75, 40.0, 1.2351, 0.2931
6000, 225.0, 5.75, 45.0, 1.0979, 0.2443
6000, 225.0, 5.75, 50.0, 0.9881, 0.2094
6000, 225.0, 6.00, 20.0, 2.3673, 1.0635
6000, 225.0, 6.00, 25.0, 1.8938, 0.6581
6000, 225.0, 6.00, 30.0, 1.5782, 0.4612
6000, 225.0, 6.00, 35.0, 1.3527, 0.3503
6000, 225.0, 6.00, 40.0, 1.1836, 0.2809
6000, 225.0, 6.00, 45.0, 1.0521, 0.2341
6000, 225.0, 6.00, 50.0, 0.9469, 0.2006
6000, 250.0, 4.00, 20.0, 2.8763, 1.1377
6000, 250.0, 4.00, 25.0, 2.3010, 0.7206
6000, 250.0, 4.00, 30.0, 1.9175, 0.5146
6000, 250.0, 4.00, 35.0, 1.6436, 0.3968
6000, 250.0, 4.00, 40.0, 1.4381, 0.3220
6000, 250.0, 4.00, 45.0, 1.2783, 0.2709
6000, 250.0, 4.00, 50.0, 1.1505, 0.2339
6000, 250.0, 4.25, 20.0, 2.7071, 1.0708
